Package;File;Feature;Technology;No. indicators found;Indicator Type;Confidence
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationImpl.java;Generation of values for simple identifiers;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationImpl.java;Cascade all operations;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationImpl.java;Mapping Joined Table Inheritance;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationImpl.java;Specifying IDs for Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;Specifying Columns for fields;JPA;5;->;0.853333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;Joining Columns for Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;Mapping Inheritance;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;Specifying Primary Tables for Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;Enforcing Indices;Hibernate;3;->;0.800000
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;Generation of values for simple identifiers;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;n-1 Associations;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;Mapping Joined Table Inheritance;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;Specifying IDs for Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.enumeration.domain;DataDrivenEnumerationValueImpl.java;Cascade refresh operation;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.cache;HydratedSetup.java;EntityManagerFactory;JPA;4;->;0.833333
;;;;;TypeUsage;0.900000
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.cache;HydratedSetup.java;EntityManager;JPA;9;->;0.888889
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
