Package,File,Feature,Technology,Confidence,,
main.java.org.broadleafcommerce.common.sandbox.domain,SandBoxImpl.java,Mapping Table per Class Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sandbox.domain,SandBoxImpl.java,Mapping Single Table Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sandbox.domain,SandBoxManagementImpl.java,Mapping Table per Class Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sandbox.domain,SandBoxManagementImpl.java,Cascade refresh operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sandbox.domain,SandBoxManagementImpl.java,Cascade persist operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sandbox.domain,SandBoxManagementImpl.java,Cascade detach operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sandbox.domain,SandBoxManagementImpl.java,Cascade merge operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sandbox.domain,SandBoxManagementImpl.java,Cascade remove operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sandbox.domain,SandBoxManagementImpl.java,Mapping Single Table Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.extensibility.jpa.convert.inheritance,SingleTableInheritanceClassTransformer.java,Mapping Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.extensibility.jpa.convert.inheritance,SingleTableInheritanceClassTransformer.java,Mapping Table per Class Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.extensibility.jpa.convert.inheritance,SingleTableInheritanceClassTransformer.java,Mapping Joined Table Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.extensibility.jpa.convert.inheritance,SingleTableInheritanceClassTransformer.java,Mapping Single Table Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.site.domain,SiteCatalogXrefImpl.java,Mapping Table per Class Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.site.domain,SiteCatalogXrefImpl.java,Mapping Single Table Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.site.domain,SiteImpl.java,Joining Columns for Entities,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.site.domain,SiteImpl.java,Mapping Table per Class Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.site.domain,SiteImpl.java,Cascade all operations,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.site.domain,SiteImpl.java,Cascade remove operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.site.domain,SiteImpl.java,Mapping Single Table Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sitemap.domain,SiteMapConfigurationImpl.java,Cascade refresh operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sitemap.domain,SiteMapConfigurationImpl.java,Cascade persist operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sitemap.domain,SiteMapConfigurationImpl.java,Cascade detach operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sitemap.domain,SiteMapConfigurationImpl.java,Cascade merge operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sitemap.domain,SiteMapConfigurationImpl.java,Cascade remove operation,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sitemap.domain,SiteMapGeneratorConfigurationImpl.java,Mapping Table per Class Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.sitemap.domain,SiteMapGeneratorConfigurationImpl.java,Mapping Single Table Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.config.domain,SystemPropertyImpl.java,Mapping Table per Class Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.config.domain,SystemPropertyImpl.java,Mapping Single Table Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.time.domain,TemporalTimestampListener.java,Specifying Columns for fields,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.time.domain,TemporalTimestampListener.java,Entities,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.i18n.domain,TranslationImpl.java,Mapping Table per Class Inheritance,JPA,0.26666668,N,
main.java.org.broadleafcommerce.common.i18n.domain,TranslationImpl.java,Mapping Single Table Inheritance,JPA,0.26666668,N,
