Package,File,Feature,Technology,Confidence,Used
framework.client.src.org.plazmaforge.framework.client.forms,IFormModel.java,DataSource,Java SQL,0.46666667,N
framework.client.src.org.plazmaforge.framework.client,Environment.java,EntityManager,JPA,0.46666667,N
framework.client.src.org.plazmaforge.framework.client.controls,IControl.java,DataSource,Java SQL,0.46666667,N
framework.client.src.org.plazmaforge.framework.client,Toolkit.java,EntityManager,JPA,0.46666667,N
framework.client.src.org.plazmaforge.framework.client,IEntityManager.java,EntityManager,JPA,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.project.client.swt.forms,ProjectStageLinkEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.project.client.swt.forms,TaskContactLinkEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.project.client.swt.forms,messages_ru.properties,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.project.client.swt.forms,TaskWorkerLinkEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.project.client.swt.forms,TaskWorkerLinkEditForm.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.project.client.swt.forms,ProjectContactLinkEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.project.client.swt.forms,TaskEditForm.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.forms,FileEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.forms,AttributeEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.forms,ReportEditForm.java,EntityManager,JPA,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.forms,ReportEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.forms,SystemInfoEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.forms,SplashForm.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.forms,AttributeValueEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.forms,ReportListForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.forms.common,DataTypeController.java,EntityManager,JPA,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.actions,RegisterPeriodAction.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.dialogs,LoginDialog.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.dialogs,InputDialog.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt.dialogs,AboutDialog.java,JDBC Work,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client.swt,RCPEntityManager.java,EntityManager,JPA,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.base.client,SWTClientApplicationManager.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.security.client.swt.forms,UserEditForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.security.client.swt.forms,UserRoleEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.organization.client.swt.forms,AbstractOrganizableListForm.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.organization.client.swt.actions,OrganizationEditAction.java,Session,Hibernate,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.contact.client.swt.forms,PhoneEditForm.java,DataSource,Java SQL,0.46666667,N
bs.base.client.swt.src.org.plazmaforge.bsolution.contact.client.swt.forms,EmailEditForm.java,DataSource,Java SQL,0.46666667,N
